[0], [0.0, 0.0, 0.0], (1, 3.7249062557433428, 2.826065127127918), 25002.716185483943 MeV, -1
[1], [0.0, 0.0, 0.0], (1, 0.9611507862017588, 2.60183958624859), 7991.110712728491 MeV, 1
[2], [0.0, 0.0, 0.0], (1, 3.965251105288333, 2.7366746989542383), 232.14646601710479 MeV, 1
[3], [0.0, 0.0, 0.0], (1, 4.125820726084932, 2.68742149087798), 1540.8082014112902 MeV, 1
[4], [0.0, 0.0, 0.0], (1, 5.655252183073602, 2.6801404445577135), 1540.1526779361568 MeV, 1
[5], [0.0, 0.0, 0.0], (1, 4.593574328836609, 2.527671809587968), 27520.20637017007 MeV, 1
[6], [0.0, 0.0, 0.0], (1, 2.4513353284972386, 2.55059031674449), 525.5313855545766 MeV, 1
[7], [0.0, 0.0, 0.0], (1, 1.5187677600074254, 2.5325057574361955), 1542.883901385979 MeV, -1
[8], [0.0, 0.0, 0.0], (1, 2.0456152292820597, 2.673652966297948), 10467.946590425878 MeV, 1
[9], [0.0, 0.0, 0.0], (1, 5.542863663249857, 2.4472516397952546), 529.045667204891 MeV, -1
[10], [0.0, 0.0, 0.0], (1, 2.0715920955481764, 2.52242088170228), 544.4960407988552 MeV, 1
[11], [0.0, 0.0, 0.0], (1, 2.3155713603810746, 2.7385577736706814), 1281.4962934320677 MeV, -1
[12], [0.0, 0.0, 0.0], (1, 1.2571081794396717, 2.2665416371441767), 3783.809671736255 MeV, -1
[13], [0.0, 0.0, 0.0], (1, 2.3635512181790084, 2.9094236478545454), 2900.7800531294592 MeV, -1
[14], [0.0, 0.0, 0.0], (1, 3.6492247720455406, 2.428571024915202), 9842.441577310141 MeV, -1
[15], [0.0, 0.0, 0.0], (1, 4.812400942273961, 2.8959824229493516), 1418.3848779741909 MeV, -1
[16], [0.0, 0.0, 0.0], (1, 5.449772230259594, 2.2960295123776615), 1772.1686080569339 MeV, 1
[17], [0.0, 0.0, 0.0], (1, 5.268314845902939, 2.3646197846633497), 48016.01764788175 MeV, 1
[18], [0.0, 0.0, 0.0], (1, 3.789172872778199, 2.7466250828012946), 852.8034801898156 MeV, 1
[19], [0.0, 0.0, 0.0], (1, 5.654441643141229, 2.5754918830671647), 824.7688213844967 MeV, -1
[20], [0.0, 0.0, 0.0], (1, 6.036441011668696, 2.7174128958266643), 289.38907509468595 MeV, -1
[21], [0.0, 0.0, 0.0], (1, 6.156056185437695, 3.0444485355592885), 2873.881748889741 MeV, -1
[22], [0.0, 0.0, 0.0], (1, 5.15365211248298, 2.415707110515287), 1896.0135899866277 MeV, 1
[23], [0.0, 0.0, 0.0], (1, 4.057529793469353, 2.2582734905906383), 693.8217308368154 MeV, -1
[24], [0.0, 0.0, 0.0], (1, 3.255455938409259, 2.598037995612703), 1324.33257204411 MeV, 1
[25], [0.0, 0.0, 0.0], (1, 3.3709562758939753, 2.1613106073640824), 8680.525613523785 MeV, -1
[26], [0.0, 0.0, 0.0], (1, 3.5945388784616856, 2.551178764160918), 6807.555864331064 MeV, 1
[27], [0.0, 0.0, 0.0], (1, 0.6243042976388953, 2.3161376809381258), 2448.053315673424 MeV, 1
[28], [0.0, 0.0, 0.0], (1, 5.490504470236233, 2.738628859128608), 1796.098749903014 MeV, -1
[29], [0.0, 0.0, 0.0], (1, 5.899104422508222, 2.869341755328455), 534.7119645771963 MeV, -1
[30], [0.0, 0.0, 0.0], (1, 2.6106329328748537, 2.459069129359669), 712.2197355619671 MeV, 1
[31], [0.0, 0.0, 0.0], (1, 1.2386431500456982, 2.4293900750670634), 9681.979049236426 MeV, -1
[32], [0.0, 0.0, 0.0], (1, 2.5049261210158775, 2.1965517608963867), 3044.693554079169 MeV, -1
[33], [0.0, 0.0, 0.0], (1, 5.329082891985497, 2.8336321413079313), 930.57269910511 MeV, -1
[34], [0.0, 0.0, 0.0], (1, 1.701175655086649, 2.334406241884027), 140.22025037085305 MeV, 1
[35], [0.0, 0.0, 0.0], (1, 3.3896194965959916, 2.2440884083223356), 6016.503235286519 MeV, 1
[36], [0.0, 0.0, 0.0], (1, 5.645108488770198, 2.7991268076429354), 24774.778786408355 MeV, -1
[37], [0.0, 0.0, 0.0], (1, 1.371065067806473, 2.7649367572336274), 7427.723202935185 MeV, -1
[38], [0.0, 0.0, 0.0], (1, 1.8600408128033958, 2.162444349829246), 10032.478072571861 MeV, 1
[39], [0.0, 0.0, 0.0], (1, 5.5049386549102595, 2.3312485653923867), 2410.272734366271 MeV, 1
[40], [0.0, 0.0, 0.0], (1, 3.836463217398797, 2.6475035356794123), 8869.430885887135 MeV, -1
[41], [0.0, 0.0, 0.0], (1, 2.493664991260662, 2.9204741410692003), 14279.175025911085 MeV, 1
[42], [0.0, 0.0, 0.0], (1, 1.5960192235184358, 2.624037671822527), 125.16967312013495 MeV, 1
[43], [0.0, 0.0, 0.0], (1, 0.6792759207293386, 3.022096710546305), 10501.407184141226 MeV, -1
[44], [0.0, 0.0, 0.0], (1, 3.2619836498276342, 2.742770581477607), 29134.917890590208 MeV, 1
[45], [0.0, 0.0, 0.0], (1, 1.8319192210135853, 3.034186868403154), 8888.705278139576 MeV, 1
[46], [0.0, 0.0, 0.0], (1, 1.861496774937974, 2.756615062402079), 2185.1700722842975 MeV, -1
[47], [0.0, 0.0, 0.0], (1, 5.235634170263884, 2.7649090265403404), 387.0211032649199 MeV, -1
[48], [0.0, 0.0, 0.0], (1, 4.701952151397959, 2.636123908817452), 7517.44069832881 MeV, 1
[49], [0.0, 0.0, 0.0], (1, 1.3824947713981164, 2.566585554063139), 802.7646995919838 MeV, 1
